13:16:06.332 [main] INFO  com.NewAutomationProject.testCases.TC_002_DemoQA_CheckBox_Test1 - successfully has clicked on the textbox
13:16:06.524 [main] INFO  com.NewAutomationProject.testCases.TC_002_DemoQA_CheckBox_Test1 - successfully has entered the name into the text field
13:16:06.647 [main] INFO  com.NewAutomationProject.testCases.TC_002_DemoQA_CheckBox_Test1 - successfully entered the email on the field
13:16:06.770 [main] INFO  com.NewAutomationProject.testCases.TC_002_DemoQA_CheckBox_Test1 - successfully has entered the address in the address field
13:16:06.801 [main] INFO  com.NewAutomationProject.testCases.TC_002_DemoQA_CheckBox_Test1 - successfully has scrolled the page
13:23:22.724 [main] INFO  com.NewAutomationProject.testCases.TC_002_DemoQA_CheckBox_Test1 - successfully has clicked on the textbox
13:23:22.873 [main] INFO  com.NewAutomationProject.testCases.TC_002_DemoQA_CheckBox_Test1 - successfully has entered the name into the text field
13:23:22.997 [main] INFO  com.NewAutomationProject.testCases.TC_002_DemoQA_CheckBox_Test1 - successfully entered the email on the field
13:23:23.127 [main] INFO  com.NewAutomationProject.testCases.TC_002_DemoQA_CheckBox_Test1 - successfully has entered the address in the address field
13:23:23.154 [main] INFO  com.NewAutomationProject.testCases.TC_002_DemoQA_CheckBox_Test1 - successfully has scrolled the page
13:24:43.858 [main] INFO  com.NewAutomationProject.testCases.TC_002_DemoQA_CheckBox_Test1 - successfully has clicked on the textbox
13:24:43.999 [main] INFO  com.NewAutomationProject.testCases.TC_002_DemoQA_CheckBox_Test1 - successfully has entered the name into the text field
13:24:44.226 [main] INFO  com.NewAutomationProject.testCases.TC_002_DemoQA_CheckBox_Test1 - successfully entered the email on the field
13:24:44.403 [main] INFO  com.NewAutomationProject.testCases.TC_002_DemoQA_CheckBox_Test1 - successfully has entered the address in the address field
13:24:44.443 [main] INFO  com.NewAutomationProject.testCases.TC_002_DemoQA_CheckBox_Test1 - successfully has scrolled the page
13:27:42.111 [main] INFO  com.NewAutomationProject.testCases.TC_002_DemoQA_CheckBox_Test1 - successfully has clicked on the textbox
13:27:42.272 [main] INFO  com.NewAutomationProject.testCases.TC_002_DemoQA_CheckBox_Test1 - successfully has entered the name into the text field
13:27:42.434 [main] INFO  com.NewAutomationProject.testCases.TC_002_DemoQA_CheckBox_Test1 - successfully entered the email on the field
13:27:42.618 [main] INFO  com.NewAutomationProject.testCases.TC_002_DemoQA_CheckBox_Test1 - successfully has entered the address in the address field
13:27:42.649 [main] INFO  com.NewAutomationProject.testCases.TC_002_DemoQA_CheckBox_Test1 - successfully has scrolled the page
13:40:26.753 [main] INFO  com.NewAutomationProject.testCases.TC_002_DemoQA_CheckBox_Test1 - successfully has clicked on the textbox
13:40:26.903 [main] INFO  com.NewAutomationProject.testCases.TC_002_DemoQA_CheckBox_Test1 - successfully has entered the name into the text field
13:40:27.030 [main] INFO  com.NewAutomationProject.testCases.TC_002_DemoQA_CheckBox_Test1 - successfully entered the email on the field
13:40:27.149 [main] INFO  com.NewAutomationProject.testCases.TC_002_DemoQA_CheckBox_Test1 - successfully has entered the address in the address field
13:42:50.683 [main] INFO  com.NewAutomationProject.testCases.TC_002_DemoQA_CheckBox_Test1 - successfully has clicked on the textbox
13:42:50.841 [main] INFO  com.NewAutomationProject.testCases.TC_002_DemoQA_CheckBox_Test1 - successfully has entered the name into the text field
13:42:51.046 [main] INFO  com.NewAutomationProject.testCases.TC_002_DemoQA_CheckBox_Test1 - successfully entered the email on the field
13:42:51.220 [main] INFO  com.NewAutomationProject.testCases.TC_002_DemoQA_CheckBox_Test1 - successfully has entered the address in the address field
13:47:24.219 [main] INFO  com.NewAutomationProject.testCases.TC_002_DemoQA_CheckBox_Test1 - successfully has clicked on the textbox
13:47:24.370 [main] INFO  com.NewAutomationProject.testCases.TC_002_DemoQA_CheckBox_Test1 - successfully has entered the name into the text field
13:47:24.484 [main] INFO  com.NewAutomationProject.testCases.TC_002_DemoQA_CheckBox_Test1 - successfully entered the email on the field
13:47:24.617 [main] INFO  com.NewAutomationProject.testCases.TC_002_DemoQA_CheckBox_Test1 - successfully has entered the address in the address field
13:50:24.045 [main] INFO  com.NewAutomationProject.testCases.TC_002_DemoQA_CheckBox_Test1 - successfully has clicked on the textbox
13:50:24.208 [main] INFO  com.NewAutomationProject.testCases.TC_002_DemoQA_CheckBox_Test1 - successfully has entered the name into the text field
13:50:24.369 [main] INFO  com.NewAutomationProject.testCases.TC_002_DemoQA_CheckBox_Test1 - successfully entered the email on the field
13:50:24.528 [main] INFO  com.NewAutomationProject.testCases.TC_002_DemoQA_CheckBox_Test1 - successfully has entered the address in the address field
